Model;Tool;SAT-solver;Seconds
JHipster;Flama;glucose4;0.0006
JHipster;Flama;glucose4;0.0005
JHipster;Flama;glucose4;0.0005
JHipster;Flama;glucose4;0.0005
JHipster;Flama;glucose4;0.0005
JHipster;Flama;lingeling;0.0017
JHipster;Flama;lingeling;0.0017
JHipster;Flama;lingeling;0.0018
JHipster;Flama;lingeling;0.0017
JHipster;Flama;lingeling;0.0018
JHipster;Flama;minisat22;0.0004
JHipster;Flama;minisat22;0.0004
JHipster;Flama;minisat22;0.0004
JHipster;Flama;minisat22;0.0004
JHipster;Flama;minisat22;0.0004
JHipster;FeatureIDE;Sat4j;0.043871801
JHipster;FeatureIDE;Sat4j;0.042615978
JHipster;FeatureIDE;Sat4j;0.043247583
JHipster;FeatureIDE;Sat4j;0.042981727
JHipster;FeatureIDE;Sat4j;0.044559544
Pizzas;Flama;glucose4;0.0001
Pizzas;Flama;glucose4;0.0001
Pizzas;Flama;glucose4;0.0001
Pizzas;Flama;glucose4;0.0001
Pizzas;Flama;glucose4;0.0001
Pizzas;Flama;lingeling;0.0003
Pizzas;Flama;lingeling;0.0003
Pizzas;Flama;lingeling;0.0003
Pizzas;Flama;lingeling;0.0003
Pizzas;Flama;lingeling;0.0003
Pizzas;Flama;minisat22;0.0001
Pizzas;Flama;minisat22;0.0001
Pizzas;Flama;minisat22;0.0001
Pizzas;Flama;minisat22;0.0001
Pizzas;Flama;minisat22;0.0001
Pizzas;FeatureIDE;Sat4j;0.038304068
Pizzas;FeatureIDE;Sat4j;0.037890186
Pizzas;FeatureIDE;Sat4j;0.037515249
Pizzas;FeatureIDE;Sat4j;0.037514234
Pizzas;FeatureIDE;Sat4j;0.037002045
