Model;Tool;SAT-solver;Seconds
smdk2410;Flama;glucose4;0.2834
smdk2410;Flama;glucose4;0.267
smdk2410;Flama;glucose4;0.2837
smdk2410;Flama;glucose4;0.1896
smdk2410;Flama;glucose4;0.1888
smdk2410;Flama;glucose4;0.1783
smdk2410;Flama;glucose4;0.2768
smdk2410;Flama;glucose4;0.2618
smdk2410;Flama;glucose4;0.1857
smdk2410;Flama;glucose4;0.1792
smdk2410;Flama;glucose4;0.1778
smdk2410;Flama;glucose4;0.1755
smdk2410;Flama;glucose4;0.1799
smdk2410;Flama;glucose4;0.1915
smdk2410;Flama;glucose4;0.1853
smdk2410;Flama;glucose4;0.1791
smdk2410;Flama;glucose4;0.1784
smdk2410;Flama;glucose4;0.1806
smdk2410;Flama;glucose4;0.1874
smdk2410;Flama;glucose4;0.1922
smdk2410;Flama;glucose4;0.1776
smdk2410;Flama;glucose4;0.178
smdk2410;Flama;glucose4;0.2642
smdk2410;Flama;glucose4;0.1925
smdk2410;Flama;glucose4;0.191
smdk2410;Flama;glucose4;0.1767
smdk2410;Flama;glucose4;0.18
smdk2410;Flama;glucose4;0.1778
smdk2410;Flama;glucose4;0.177
smdk2410;Flama;glucose4;0.1893
smdk2410;Flama;glucose4;0.2853
smdk2410;Flama;glucose4;0.2853
smdk2410;Flama;glucose4;0.1745
smdk2410;Flama;glucose4;0.1918
smdk2410;Flama;glucose4;0.1884
smdk2410;Flama;glucose4;0.1812
smdk2410;Flama;glucose4;0.178
smdk2410;Flama;glucose4;0.1775
smdk2410;Flama;glucose4;0.191
smdk2410;Flama;glucose4;0.1889
smdk2410;Flama;glucose4;0.1817
smdk2410;Flama;glucose4;0.1857
smdk2410;Flama;glucose4;0.18
smdk2410;Flama;glucose4;0.1869
smdk2410;Flama;glucose4;0.1905
smdk2410;Flama;glucose4;0.2822
smdk2410;Flama;glucose4;0.2871
smdk2410;Flama;glucose4;0.2742
smdk2410;Flama;glucose4;0.1951
smdk2410;Flama;glucose4;0.2738
smdk2410;Flama;glucose4;0.1802
smdk2410;Flama;glucose4;0.1795
smdk2410;Flama;glucose4;0.1893
smdk2410;Flama;glucose4;0.2813
smdk2410;Flama;glucose4;0.1802
smdk2410;Flama;glucose4;0.1771
smdk2410;Flama;glucose4;0.1775
smdk2410;Flama;glucose4;0.1913
smdk2410;Flama;glucose4;0.1921
smdk2410;Flama;glucose4;0.1763
smdk2410;Flama;glucose4;0.1783
smdk2410;Flama;glucose4;0.1783
smdk2410;Flama;glucose4;0.1765
smdk2410;Flama;glucose4;0.1792
smdk2410;Flama;glucose4;0.1781
smdk2410;Flama;glucose4;0.2463
smdk2410;Flama;glucose4;0.1786
smdk2410;Flama;glucose4;0.2836
smdk2410;Flama;glucose4;0.1899
smdk2410;Flama;glucose4;0.1807
smdk2410;Flama;glucose4;0.1738
smdk2410;Flama;glucose4;0.18
smdk2410;Flama;glucose4;0.1758
smdk2410;Flama;glucose4;0.189
smdk2410;Flama;glucose4;0.1926
smdk2410;Flama;glucose4;0.178
smdk2410;Flama;glucose4;0.1818
smdk2410;Flama;glucose4;0.1783
smdk2410;Flama;glucose4;0.1805
smdk2410;Flama;glucose4;0.1813
smdk2410;Flama;glucose4;0.1808
smdk2410;Flama;glucose4;0.1743
smdk2410;Flama;glucose4;0.1788
smdk2410;Flama;glucose4;0.176
smdk2410;Flama;glucose4;0.1901
smdk2410;Flama;glucose4;0.193
smdk2410;Flama;glucose4;0.177
smdk2410;Flama;glucose4;0.1777
smdk2410;Flama;glucose4;0.178
smdk2410;Flama;glucose4;0.1772
smdk2410;Flama;glucose4;0.1892
smdk2410;Flama;glucose4;0.1763
smdk2410;Flama;glucose4;0.1784
smdk2410;Flama;glucose4;0.1764
smdk2410;Flama;glucose4;0.1771
smdk2410;Flama;glucose4;0.1913
smdk2410;Flama;glucose4;0.1804
smdk2410;Flama;glucose4;0.1801
smdk2410;Flama;glucose4;0.1788
smdk2410;Flama;glucose4;0.2568
smdk2410;Flama;lingeling;1.304
smdk2410;Flama;lingeling;1.2925
smdk2410;Flama;lingeling;1.2725
smdk2410;Flama;lingeling;1.3196
smdk2410;Flama;lingeling;1.2617
smdk2410;Flama;lingeling;1.3912
smdk2410;Flama;lingeling;1.2712
smdk2410;Flama;lingeling;1.2681
smdk2410;Flama;lingeling;1.3234
smdk2410;Flama;lingeling;1.2611
smdk2410;Flama;lingeling;1.3244
smdk2410;Flama;lingeling;1.2708
smdk2410;Flama;lingeling;1.2838
smdk2410;Flama;lingeling;1.3108
smdk2410;Flama;lingeling;1.2614
smdk2410;Flama;lingeling;1.3279
smdk2410;Flama;lingeling;1.2689
smdk2410;Flama;lingeling;1.3334
smdk2410;Flama;lingeling;1.2957
smdk2410;Flama;lingeling;1.2609
smdk2410;Flama;lingeling;1.3285
smdk2410;Flama;lingeling;1.2597
smdk2410;Flama;lingeling;1.2903
smdk2410;Flama;lingeling;1.287
